signal, time
1, 14995
2, 11082
3, 16076
4, 13031
5, 13044
6, 14528
7, 12622
8, 11102
9, 10184
10, 10325
11, 10521
12, 11073
13, 9410
14, 9218
15, 9092
16, 10057
17, 9761
18, 9783
19, 9426
20, 11342
21, 11383
22, 11149
23, 10943
24, 10957
25, 10831
26, 10309
27, 10683
28, 10373
29, 11583
30, 10274
31, 9913
32, 10065
33, 9926
34, 10260
35, 9711
36, 9750
37, 10151
38, 11144
39, 10366
40, 10860
41, 10308
42, 10349
43, 10750
44, 10598
45, 10498
46, 10710
47, 10203
48, 10436
49, 10596
50, 10484
51, 10432
52, 10258
53, 10245
54, 10373
55, 10676
56, 10361
57, 10592
58, 10318
59, 11438
60, 10563
61, 10343
62, 10530
63, 10569
64, 10222
65, 10412
66, 10121
67, 10209
68, 10719
69, 10458
70, 11530
71, 10469
72, 10878
73, 10415
74, 10453
75, 10319
76, 10496
77, 10517
78, 10355
79, 11424
80, 10258
81, 10983
82, 10161
83, 10451
84, 10606
85, 10579
86, 10305
87, 10420
88, 10887
89, 17177
90, 10287
91, 10697
92, 10479
93, 10551
94, 10156
95, 12093
96, 11030
97, 11292
98, 13122
99, 11386
100, 11722
101, 12169
102, 12610
103, 12188
104, 12070
105, 12908
106, 12467
107, 12231
108, 12007
109, 12301
110, 11656
111, 10608
112, 11538
113, 11230
114, 32126
115, 85401
116, 10933
117, 11119
118, 10741
119, 10566
120, 10477
121, 10778
122, 12863
123, 11404
124, 11590
125, 11311
126, 11478
127, 9979
128, 116802
129, 10245
130, 10365
131, 10077
132, 10377
133, 9975
134, 10137
135, 10405
136, 11309
137, 11689
138, 11225
139, 10815
140, 10096
141, 10307
142, 10445
143, 10194
144, 10334
145, 10412
146, 90675
147, 18169
148, 11709
149, 11828
150, 11961
151, 11260
152, 11057
153, 11017
154, 11192
155, 11011
156, 11098
157, 12435
158, 11112
159, 11415
160, 11276
161, 10777
162, 11493
163, 11055
164, 11646
165, 11736
166, 11516
167, 11596
168, 13086
169, 11495
170, 11110
171, 11253
172, 104206
173, 24823
174, 11956
175, 11676
176, 11959
177, 11516
178, 13742
179, 11056
180, 10588
181, 11265
182, 10954
183, 11301
184, 11092
185, 11098
186, 15804
187, 11039
188, 12202
189, 10780
190, 10798
191, 10722
192, 14315
193, 10977
194, 10938
195, 10797
196, 10980
197, 10977
198, 12145
199, 10292
200, 10826
201, 10656
202, 10639
203, 10581
204, 10978
205, 10683
206, 10732
207, 10720
208, 14382
209, 11595
210, 11545
211, 11714
212, 11604
213, 11649
214, 14891
215, 13845
216, 11816
217, 13228
218, 11486
219, 11484
220, 11439
221, 11373
222, 11196
223, 11467
224, 11712
225, 11462
226, 11554
227, 12445
228, 11065
229, 12620
230, 12519
231, 13384
232, 11921
233, 12305
234, 13646
235, 13011
236, 15934
237, 13807
238, 13859
239, 12615
240, 12456
241, 12250
242, 12756
243, 13994
244, 12364
245, 12417
246, 11877
247, 12221
248, 12699
249, 12480
250, 12167
251, 13605
252, 12676
253, 14207
254, 14336
255, 12395
256, 11595
257, 11361
258, 11601
259, 11189
260, 10843
261, 10778
262, 13492
263, 12111
264, 11136
265, 11159
266, 11769
267, 11408
268, 11673
269, 11447
270, 11265
271, 12114
272, 10722
273, 10935
274, 11629
275, 11713
276, 11014
277, 11312
278, 11237
279, 13793
280, 14471
281, 12658
282, 20092
283, 11875
284, 11585
285, 11375
286, 11359
287, 11310
288, 13011
289, 12990
290, 12960
291, 12513
292, 12365
293, 11877
294, 13493
295, 12314
296, 11882
297, 12103
298, 11548
299, 11761
300, 11317
301, 10903
302, 12344
303, 11810
304, 11615
305, 11549
306, 11245
307, 11143
308, 11333
309, 10550
310, 11788
311, 12153
312, 11967
313, 11017
314, 10361
315, 10358
316, 10206
317, 11293
318, 10682
319, 11605
320, 11462
321, 11122
322, 10840
323, 12198
324, 10820
325, 10589
326, 11695
327, 12429
328, 11662
329, 12232
330, 11542
331, 11268
332, 11044
333, 12572
334, 14812
335, 12095
336, 11632
337, 12480
338, 12058
339, 11944
340, 11522
341, 12766
342, 11354
343, 10930
344, 11980
345, 11799
346, 12785
347, 12594
348, 12417
349, 11061
350, 11502
351, 11361
352, 11217
353, 13094
354, 11499
355, 24188
356, 10820
357, 11826
358, 11376
359, 11568
360, 11917
361, 10701
362, 10637
363, 11395
364, 11983
365, 11838
366, 11506
367, 17053
368, 11294
369, 10982
370, 13793
371, 12370
372, 12426
373, 11440
374, 10937
375, 11167
376, 10674
377, 13114
378, 12096
379, 12130
380, 11642
381, 11735
382, 10800
383, 10456
384, 10220
385, 9970
386, 11433
387, 12127
388, 12612
389, 10321
390, 13285
391, 12819
392, 13029
393, 11766
394, 11891
395, 11635
396, 11314
397, 11442
398, 11470
399, 14782
400, 13236
401, 12760
402, 12133
403, 12587
404, 12378
405, 11842
406, 12061
407, 12003
408, 12117
409, 11647
410, 11932
411, 11385
412, 11204
413, 11226
414, 13549
415, 12094
416, 11716
417, 11452
418, 12344
419, 11751
420, 11687
421, 12019
422, 11479
423, 11819
424, 11003
425, 11276
426, 11650
427, 12108
428, 11095
429, 11205
430, 11115
431, 11629
432, 11899
433, 11188
434, 11369
435, 11039
436, 10258
437, 11236
438, 11192
439, 10964
440, 11029
441, 13248
442, 11489
443, 12143
444, 10816
445, 11565
446, 11547
447, 11744
448, 12475
449, 12798
450, 12559
451, 11280
452, 11459
453, 13219
454, 11246
